date,time,graha_positions,veda_calculations
"2022-08-11 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N22P3"",""SY"":""N9P3"",""BU"":""N11P2"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P1"",""LG"":""N13P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW], [LG]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
"2022-08-11 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N22P4"",""SY"":""N9P3"",""BU"":""N11P2"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P1"",""LG"":""N20P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
"2022-08-12 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N23P3"",""SY"":""N9P3"",""BU"":""N11P2"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N13P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[CH, (SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [CH, (SA)], [(RA), SW], [LG]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-12 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N24P1"",""SY"":""N9P3"",""BU"":""N11P2"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N20P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
"2022-08-13 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N24P4"",""SY"":""N9P3"",""BU"":""N11P3"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N13P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW], [LG]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
"2022-08-13 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N25P1"",""SY"":""N9P4"",""BU"":""N11P3"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N20P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-14 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N25P4"",""SY"":""N9P4"",""BU"":""N11P3"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N13P1""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW], [LG]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-14 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N26P1"",""SY"":""N9P4"",""BU"":""N11P3"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P2"",""LG"":""N20P3""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[LG], [CH, (GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [SY], [(SA)], [(RA), SW], [CH, (GU)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-15 09:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N26P4"",""SY"":""N9P4"",""BU"":""N11P3"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P3"",""LG"":""N13P2""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[LG], [CH, (GU)]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [SY], [(SA)], [(RA), SW], [LG], [CH, (GU)]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)]]}}"
"2022-08-15 17:00:00","-05:00:00","{""(GU)"":""N26P4"",""(SA)"":""N23P2"",""(RA)"":""N2P4"",""(TE)"":""N21P2"",""SW"":""N2P4"",""CH"":""N27P2"",""SY"":""N9P4"",""BU"":""N11P4"",""MA"":""N3P2"",""(KE)"":""N16P2"",""(SM)"":""N25P4"",""SK"":""N8P3"",""LG"":""N20P4""}","{""rasi"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]},""tithi"":{""code"":""poorna"",""name"":""tithi"",""veda"":[[(GU)], [LG]]},""nakshatra"":{""code"":""N23"",""name"":""nakshatra"",""veda"":[[(SA)]]},""vaara"":{""code"":""rikta"",""name"":""vaara"",""veda"":[[(TE)], [(GU)], [SY], [(SA)], [(RA), SW]]},""lagna"":{""code"":""R10"",""name"":""lagna"",""veda"":[[(TE)], [CH]]}}"
